"Technique","Prediction","Reference","Freq","value_counts","Test_data_accuracy","Training_data_accuracy","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"Decision Trees 1 (C5.0)","female","male",5,"False Positive",0.97,0.96875,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Decision Trees 1 (C5.0)","male","male",95,"True Positive",0.97,0.96875,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"SVM 3 (svmPoly)","female","female",100,"True Negative",0.965,0.971666666666667,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"SVM 3 (svmPoly)","male","female",0,"False Negative",0.965,0.971666666666667,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"SVM 3 (svmPoly)","female","male",7,"False Positive",0.965,0.971666666666667,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"SVM 3 (svmPoly)","male","male",93,"True Positive",0.965,0.971666666666667,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"k-NN 2 (kknn)","female","female",96,"True Negative",0.96,0.954166666666667,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"k-NN 2 (kknn)","male","female",4,"False Negative",0.96,0.954166666666667,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"k-NN 2 (kknn)","female","male",4,"False Positive",0.96,0.954166666666667,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"k-NN 2 (kknn)","male","male",96,"True Positive",0.96,0.954166666666667,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"Naive Bayes 1 (nb)","female","female",86,"True Negative",0.925,0.902083333333333,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Naive Bayes 1 (nb)","male","female",14,"False Negative",0.925,0.902083333333333,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Naive Bayes 1 (nb)","female","male",1,"False Positive",0.925,0.902083333333333,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Naive Bayes 1 (nb)","male","male",99,"True Positive",0.925,0.902083333333333,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Decision Trees 1 (C5.0)","female","female",49,"True Negative",0.97,0.9575,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Decision Trees 1 (C5.0)","male","female",1,"False Negative",0.97,0.9575,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Decision Trees 1 (C5.0)","female","male",2,"False Positive",0.97,0.9575,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Decision Trees 1 (C5.0)","male","male",48,"True Positive",0.97,0.9575,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"SVM 2 (svmRadialWeights)","female","female",47,"True Negative",0.96,0.966666666666667,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"SVM 2 (svmRadialWeights)","male","female",3,"False Negative",0.96,0.966666666666667,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"SVM 2 (svmRadialWeights)","female","male",1,"False Positive",0.96,0.966666666666667,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"SVM 2 (svmRadialWeights)","male","male",49,"True Positive",0.96,0.966666666666667,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"Random Forest 1 (rf)","female","female",48,"True Negative",0.96,0.966666666666667,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Random Forest 1 (rf)","male","female",2,"False Negative",0.96,0.966666666666667,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Random Forest 1 (rf)","female","male",2,"False Positive",0.96,0.966666666666667,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Random Forest 1 (rf)","male","male",48,"True Positive",0.96,0.966666666666667,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"CART 3 (rpart2)","female","female",48,"True Negative",0.95,0.94,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"CART 3 (rpart2)","male","female",2,"False Negative",0.95,0.94,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"CART 3 (rpart2)","female","male",3,"False Positive",0.95,0.94,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"CART 3 (rpart2)","male","male",47,"True Positive",0.95,0.94,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"k-NN 2 (kknn)","female","female",47,"True Negative",0.95,0.958333333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"k-NN 2 (kknn)","male","female",3,"False Negative",0.95,0.958333333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"k-NN 2 (kknn)","female","male",2,"False Positive",0.95,0.958333333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"k-NN 2 (kknn)","male","male",48,"True Positive",0.95,0.958333333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"RNA 1 (nnet)","female","female",44,"True Negative",0.93,0.965833333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"RNA 1 (nnet)","male","female",6,"False Negative",0.93,0.965833333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"RNA 1 (nnet)","female","male",1,"False Positive",0.93,0.965833333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"RNA 1 (nnet)","male","male",49,"True Positive",0.93,0.965833333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"Naive Bayes 1 (nb)","female","female",45,"True Negative",0.9,0.893333333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Naive Bayes 1 (nb)","male","female",5,"False Negative",0.9,0.893333333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Naive Bayes 1 (nb)","female","male",5,"False Positive",0.9,0.893333333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Naive Bayes 1 (nb)","male","male",45,"True Positive",0.9,0.893333333333333,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
